surface,tourney_date,winner_id,loser_id,score,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1,20160104,105062,104797,6-2 7-5,3,65,762,61,781
1,20160104,103285,105583,6-0 6-3,3,197,252,76,678
1,20160104,106071,103917,6-4 6-3,3,18,1675,71,710
1,20160104,104471,117352,6-3 6-2,3,87,636,813,25
1,20160104,106298,106415,4-6 6-3 7-5,3,78,672,117,495
1,20160104,105676,105064,6-4 6-4,3,16,1880,37,1105
1,20160104,106233,105902,3-6 6-4 6-3,3,20,1600,120,485
1,20160104,106045,105441,4-6 6-3 6-2,3,69,719,129,459
1,20160104,111202,105032,7-6(8) 6-4,3,51,817,60,782
1,20160104,105777,104468,6-3 7-6(10),3,28,1360,15,2145
1,20160104,104678,105449,7-6(3) 6-1,3,22,1487,32,1240
1,20160104,104735,106093,6-2 6-4,3,277,185,231,225
1,20160104,105453,105062,6-3 6-4,3,8,4235,65,762
1,20160104,106071,103285,7-6(6) 4-6 7-6(4),3,18,1675,197,252
1,20160104,105683,104471,6-7(2) 6-1 6-4,3,14,2170,87,636
1,20160104,106298,105676,7-6(5) 4-6 6-3,3,78,672,16,1880
1,20160104,106233,106045,6-3 6-2,3,20,1600,69,719
1,20160104,105227,111202,7-5 7-6(3),3,13,2405,51,817
1,20160104,105777,104678,5-7 7-6(6) 6-2,3,28,1360,22,1487
1,20160104,103819,104735,6-2 6-1,3,3,8265,277,185
1,20160104,106071,105453,6-3 1-6 6-3,3,18,1675,8,4235
1,20160104,105683,106298,6-4 6-4,3,14,2170,78,672
1,20160104,106233,105227,2-6 7-6(4) 6-4,3,20,1600,13,2405
1,20160104,103819,105777,6-4 6-7(4) 6-4,3,3,8265,28,1360
1,20160104,105683,106071,7-6(5) 7-6(5),3,14,2170,18,1675
1,20160104,103819,106233,6-1 6-4,3,3,8265,20,1600
1,20160104,105683,103819,6-4 6-4,3,14,2170,3,8265
1,20160104,106368,104593,6-2 6-0,3,248,209,98,590
1,20160104,104563,105526,6-4 7-6(5),3,106,552,107,547
1,20160104,105379,105577,7-5 7-6(6),3,45,939,39,1075
1,20160104,105357,105539,6-7(5) 6-4 7-6(6),3,92,611,91,615
1,20160104,105572,104330,6-7(0) 6-4 6-4,3,104,559,89,623
1,20160104,106432,104719,7-6(5) 2-6 6-4,3,44,941,84,645
1,20160104,104180,111575,6-7(3) 7-6(4) 6-2,3,38,1105,152,379
1,20160104,105341,106075,1-6 6-3 6-4,3,157,362,259,203
1,20160104,104586,105053,6-3 6-4,3,55,797,70,716
1,20160104,104198,106121,4-6 7-5 6-2,3,27,1430,96,603
1,20160104,105302,104597,3-6 7-5 7-6(1),3,449,90,73,694
1,20160104,126094,104500,6-3 3-6 6-3,3,185,270,177,284
1,20160104,106368,104628,3-6 6-4 6-4,3,248,209,164,321
1,20160104,105379,104563,5-7 6-3 6-4,3,45,939,106,552
1,20160104,105138,105357,6-4 6-1,3,25,1480,92,611
1,20160104,106432,105572,6-2 7-5,3,44,941,104,559
1,20160104,105341,104180,6-4 7-5,3,157,362,38,1105
1,20160104,105332,104586,7-5 7-5,3,19,1633,55,797
1,20160104,104198,105302,7-6(5) 6-1,3,27,1430,449,90
1,20160104,104527,126094,6-3 6-2,3,4,6865,185,270
1,20160104,105379,106368,6-7(5) 6-4 6-3,3,45,939,248,209
1,20160104,106432,105138,3-6 6-4 7-6(1),3,44,941,25,1480
1,20160104,105332,105341,6-4 7-5,3,19,1633,157,362
1,20160104,104527,104198,6-4 6-4,3,4,6865,27,1430
1,20160104,106432,105379,7-6(5) 6-7(5) 6-3,3,44,941,45,939
1,20160104,104527,105332,6-3 6-4,3,4,6865,19,1633
1,20160104,104527,106432,6-3 7-5,3,4,6865,44,941
1,20160104,104745,105807,6-7(5) 6-3 6-1,3,5,5230,67,734
1,20160104,104898,106234,5-7 6-1 7-5,3,66,740,195,254
1,20160104,105723,104947,6-2 6-4,3,79,663,114,520
1,20160104,105575,104312,3-6 6-1 6-4,3,85,641,29,1360
1,20160104,105011,103970,6-7(8) 6-3 6-2,3,94,605,7,4305
1,20160104,104559,104620,4-6 6-4 6-1,3,50,863,58,790
1,20160104,103908,105077,6-3 4-6 7-6(7),3,95,604,54,798
1,20160104,104871,122570,6-1 6-1,3,31,1255,1512,3
1,20160104,103926,103852,3-6 7-6(4) 7-5,3,75,681,17,1690
1,20160104,106378,105373,6-2 6-3,3,102,568,43,980
1,20160104,106000,106065,6-4 6-2,3,82,649,90,618
1,20160104,104607,104660,7-5 6-4,3,6,4620,62,780
1,20160104,104919,103794,6-1 6-2,3,35,1150,97,591
1,20160104,104665,103893,6-4 0-6 6-4,3,64,770,68,725
1,20160104,104269,104291,7-6(4) 7-6(4),3,49,900,103,566
1,20160104,104925,104460,6-2 6-2,3,1,16585,118,493
1,20160104,104745,104898,6-3 6-2,3,5,5230,66,740
1,20160104,105723,105575,7-6(6) 6-1,3,79,663,85,641
1,20160104,105011,104559,6-4 6-2,3,94,605,50,863
1,20160104,104871,103908,6-2 6-4,3,31,1255,95,604
1,20160104,106378,103926,5-7 6-3 7-6(3),3,102,568,75,681
1,20160104,104607,106000,6-0 6-4,3,6,4620,82,649
1,20160104,104919,104665,6-2 6-4,3,35,1150,64,770
1,20160104,104925,104269,6-2 6-2,3,1,16585,49,900
1,20160104,104745,105723,6-3 5-7 6-4,3,5,5230,79,663
1,20160104,105011,104871,6-3 7-6(3),3,94,605,31,1255
1,20160104,104607,106378,6-3 6-2,3,6,4620,102,568
1,20160104,104925,104919,6-3 7-5,3,1,16585,35,1150
1,20160104,104745,105011,6-3 6-4,3,5,5230,94,605
1,20160104,104925,104607,6-3 7-6(3),3,1,16585,6,4620
1,20160104,104925,104745,6-1 6-2,3,1,16585,5,5230
1,20160111,104259,103794,7-6(8) 6-3,3,34,1185,98,595
1,20160111,105217,105077,6-3 6-4,3,100,582,55,798
1,20160111,104926,105311,6-4 2-6 7-6(3),3,21,1515,33,1191
1,20160111,105023,105379,6-7(5) 7-6(10) 2-1 RET,3,60,785,49,867
1,20160111,105385,110686,6-2 6-3,3,46,907,365,123
1,20160111,105138,106210,6-3 7-5,3,25,1480,42,1057
1,20160111,105577,103333,7-6(4) 7-5,3,39,1075,23,1485
1,20160111,106058,103607,6-0 6-4,3,26,1465,56,797
1,20160111,104898,104665,6-4 6-1,3,64,750,59,790
1,20160111,105332,105030,6-4 7-6(4),3,18,1703,679,41
1,20160111,104586,104198,7-6(5) 6-4,3,54,802,27,1430
1,20160111,105881,105449,6-3 3-6 6-3,3,299,167,32,1240
1,20160111,104542,104259,6-3 6-4,3,10,2635,34,1185
1,20160111,104926,105217,6-1 6-1,3,21,1515,100,582
1,20160111,104545,105023,7-6(8) 6-7(4) 6-4,3,11,2495,60,785
1,20160111,105138,105385,6-4 7-6(3),3,25,1480,46,907
1,20160111,106058,105577,6-2 6-4,3,26,1465,39,1075
1,20160111,104731,104898,7-6(8) 7-6(5),3,12,2475,64,750
1,20160111,104586,105332,6-4 7-6(5),3,54,802,18,1703
1,20160111,103970,105881,6-2 6-4,3,8,4055,299,167
1,20160111,104542,104926,7-5 7-6(4),3,10,2635,21,1515
1,20160111,105138,104545,7-5 2-6 6-3,3,25,1480,11,2495
1,20160111,106058,104731,1-6 6-4 6-4,3,26,1465,12,2475
1,20160111,103970,104586,6-3 6-4,3,8,4055,54,802
1,20160111,105138,104542,3-6 7-6(3) 6-4,3,25,1480,10,2635
1,20160111,106058,103970,3-6 6-1 6-2,3,26,1465,8,4055
1,20160111,105138,106058,6-1 1-0 RET,3,25,1480,26,1465
1,20160111,104180,106432,6-1 6-4,3,38,1105,40,1066
1,20160111,105902,105438,6-3 6-2,3,134,447,72,703
1,20160111,104871,105062,6-2 6-3,3,31,1255,63,762
1,20160111,104655,109739,6-4 6-4,3,41,1065,265,203
1,20160111,105512,104620,6-2 7-6(5),3,195,260,58,790
1,20160111,105238,105064,6-1 6-4,3,36,1135,37,1105
1,20160111,104312,104797,6-4 4-6 6-2,3,29,1270,61,781
1,20160111,103917,105173,6-4 7-5,3,71,710,44,985
1,20160111,103990,105357,7-6(3) 6-3,3,43,1000,93,611
1,20160111,104559,104919,6-4 6-3,3,50,863,35,1150
1,20160111,105643,105032,7-6(4) 7-6(5),3,52,815,66,747
1,20160111,111442,105373,6-2 4-0 RET,3,149,402,45,955
1,20160111,104180,106233,7-6(2) 2-2 RET,3,38,1105,20,1645
1,20160111,104871,105902,7-6(5) 6-4,3,31,1255,134,447
1,20160111,105777,104655,7-6(2) 6-4,3,28,1315,41,1065
1,20160111,105238,105512,7-6(6) 6-2,3,36,1135,195,260
1,20160111,103917,104312,6-3 1-6 6-3,3,71,710,29,1270
1,20160111,104678,103990,6-1 6-4,3,22,1487,43,1000
1,20160111,104559,105643,6-3 6-3,3,50,863,52,815
1,20160111,106071,111442,6-2 6-2,3,17,1720,149,402
1,20160111,104180,104871,7-6(5) 6-3,3,38,1105,31,1255
1,20160111,105777,105238,4-6 6-3 6-4,3,28,1315,36,1135
1,20160111,104678,103917,4-6 6-3 6-3,3,22,1487,71,710
1,20160111,104559,106071,6-3 3-0 RET,3,50,863,17,1720
1,20160111,105777,104180,6-2 7-6(4),3,28,1315,38,1105
1,20160111,104678,104559,3-6 6-4 6-4,3,22,1487,50,863
1,20160111,104678,105777,2-6 6-1 7-6(7),3,22,1487,28,1315
1,20160118,104925,111202,6-3 6-2 6-4,5,1,16790,52,821
1,20160118,111460,104471,6-4 6-7 6-4 7-5,5,187,274,78,678
1,20160118,106045,105936,6-2 6-1,5,69,727,102,574
1,20160118,104312,104559,3-6 7-6 6-4 7-6,5,29,1290,44,933
1,20160118,105643,103333,7-6 6-4 2-1,5,53,815,24,1485
1,20160118,105952,106210,7-6 2-6 1-6 6-4 6-4,5,174,296,50,840
1,20160118,105539,105438,6-4 3-6 6-1 6-4,5,91,620,72,703
1,20160118,104468,105577,6-7 6-3 6-2 6-4,5,15,2145,39,1075
1,20160118,104542,104571,6-4 4-6 6-4 6-2,5,10,2725,46,894
1,20160118,117357,105011,6-4 3-6 6-0 6-4,5,310,159,76,688
1,20160118,105732,104665,5-7 6-4 7-6 6-2,5,167,313,62,770
1,20160118,111511,105332,7-6 7-6 7-6,5,328,146,18,1703
1,20160118,104198,103908,6-4 6-4 6-4,5,27,1430,97,609
1,20160118,104978,103607,6-4 7-6 4-6 6-1,5,151,393,55,797
1,20160118,105572,105842,6-4 6-1 6-3,5,103,571,243,218
1,20160118,105453,104259,6-4 6-3 6-3,5,7,4235,34,1185
1,20160118,103819,105932,6-2 6-1 6-2,5,3,8165,118,493
1,20160118,105238,105575,6-1 3-6 6-4 6-2,5,35,1160,85,641
1,20160118,105477,106075,6-4 7-6 7-5,5,210,244,251,215
1,20160118,105777,103893,6-3 7-6 6-3,5,28,1420,57,795
1,20160118,106233,104919,6-2 7-6 4-6 7-6,5,20,1645,36,1105
1,20160118,104597,103898,6-3 6-7 6-3 7-6,5,73,694,696,38
1,20160118,106000,106378,1-6 7-6 4-6 6-3 6-1,5,81,661,88,625
1,20160118,105676,104660,3-6 6-3 6-4 6-4,5,16,1835,60,780
1,20160118,105227,105217,6-7 7-5 6-2 6-4,5,13,2405,98,607
1,20160118,105077,106432,6-2 6-2 6-3,5,61,773,40,1066
1,20160118,105583,105023,6-7 4-6 6-4 6-2,5,77,678,58,785
1,20160118,105138,105373,6-2 6-3 4-6 2-6 6-2,5,21,1640,43,955
1,20160118,106401,105807,6-2 7-5 6-2,5,30,1260,68,734
1,20160118,104655,106415,7-6 6-1 6-4,5,41,1065,117,501
1,20160118,105806,104898,7-6 6-4 6-4,5,138,432,65,762
1,20160118,104607,106026,7-5 6-1 6-2,5,6,4560,96,610
1,20160118,104269,104745,7-6 4-6 3-6 7-6 6-2,5,45,900,5,5230
1,20160118,104534,103794,6-1 6-3 2-6 6-2,5,87,633,101,597
1,20160118,105723,105992,7-5 6-4 6-4,5,74,693,134,448
1,20160118,104871,105208,7-5 2-6 6-7 6-3 13-11,5,31,1255,79,661
1,20160118,104792,105216,6-1 6-3 6-2,5,25,1485,124,481
1,20160118,103917,106065,4-6 6-2 6-2 6-2,5,63,767,92,618
1,20160118,103565,106216,6-2 6-2 6-2,5,225,233,132,458
1,20160118,104330,104731,7-6 6-7 6-3 3-0,5,93,617,12,2475
1,20160118,105683,106298,6-1 6-4 6-4,5,14,2270,90,621
1,20160118,103990,104291,7-5 3-6 4-6 7-6 8-6,5,42,1000,104,566
1,20160118,105065,104593,6-1 3-6 6-3 6-2,5,108,543,100,598
1,20160118,104678,103926,4-6 4-6 6-1 7-6 6-3,5,26,1475,71,718
1,20160118,106058,126203,6-4 3-6 0-6 6-3 6-4,5,22,1525,155,372
1,20160118,104586,106121,7-6 7-5 5-7 6-7 6-1,5,51,827,99,603
1,20160118,103285,105147,6-4 6-3 6-7 6-2,5,188,272,125,477
1,20160118,104527,104098,7-6 6-3,5,4,6865,,
1,20160118,103970,105376,6-4 6-4 6-2,5,8,4145,223,234
1,20160118,103720,105902,7-6 6-2 6-4,5,308,160,129,460
1,20160118,105064,111442,6-2 6-3 6-2,5,37,1105,143,414
1,20160118,105449,105379,6-3 6-4 7-6,5,32,1240,49,867
1,20160118,103852,105554,6-1 6-0 6-4,5,19,1690,185,274
1,20160118,105550,104327,2-6 3-6 6-3 7-5 6-1,5,75,693,110,538
1,20160118,104719,105051,6-2 4-6 6-1 6-4,5,80,661,106,557
1,20160118,104545,105668,6-3 7-6 6-3,5,11,2495,56,795
1,20160118,106071,104797,6-7 6-4 6-4 6-4,5,17,1720,59,781
1,20160118,104620,104548,7-6 7-6 6-7 7-6,5,64,765,,
1,20160118,105357,106043,3-6 5-7 7-6 5-0,5,95,611,89,621
1,20160118,104180,104926,7-6 7-6 6-7 7-6,5,38,1105,23,1515
1,20160118,105311,105062,6-3 6-4 6-3,5,33,1191,94,612
1,20160118,105053,105385,6-4 1-6 6-3 6-2,5,70,723,47,882
1,20160118,105032,105173,7-6 6-4 3-6 6-3,5,67,747,48,880
1,20160118,104918,100644,6-1 6-2 6-3,5,2,8945,83,647
1,20160118,104925,111460,6-1 6-2 7-6,5,1,16790,187,274
1,20160118,104312,106045,7-5 6-4 6-4,5,29,1290,69,727
1,20160118,105643,105952,7-6 3-6 6-7 7-5 6-2,5,53,815,174,296
1,20160118,104468,105539,6-3 5-7 7-6 4-6 7-5,5,15,2145,91,620
1,20160118,104542,117357,7-5 6-1 6-4,5,10,2725,310,159
1,20160118,105732,111511,6-3 6-4 6-0,5,167,313,328,146
1,20160118,104198,104978,4-6 6-1 7-6 6-3,5,27,1430,151,393
1,20160118,105453,105572,6-3 7-6 6-3,5,7,4235,103,571
1,20160118,103819,105238,6-3 7-5 6-1,5,3,8165,35,1160
1,20160118,105777,105477,6-3 4-6 6-2 7-5,5,28,1420,210,244
1,20160118,106233,104597,6-3 6-1 6-3,5,20,1645,73,694
1,20160118,105676,106000,6-4 0-6 6-4 6-2,5,16,1835,81,661
1,20160118,105227,105077,6-4 6-3 7-6,5,13,2405,61,773
1,20160118,105138,105583,4-6 6-2 4-6 6-2 6-1,5,21,1640,77,678
1,20160118,106401,104655,6-4 7-5 7-6,5,30,1260,41,1065
1,20160118,104607,105806,6-4 6-0 6-3,5,6,4560,138,432
1,20160118,104534,104269,4-6 6-3 6-3 7-6,5,87,633,45,900
1,20160118,105723,104871,6-4 7-6 7-6,5,74,693,31,1255
1,20160118,104792,103917,7-5 6-4 6-1,5,25,1485,63,767
1,20160118,103565,104330,6-1 6-7 4-6 7-5 7-5,5,225,233,93,617
1,20160118,105683,103990,7-6 7-6 7-5,5,14,2270,42,1000
1,20160118,104678,105065,6-4 7-6 7-6,5,26,1475,108,543
1,20160118,104586,106058,7-6 7-6 6-3,5,51,827,22,1525
1,20160118,104527,103285,6-2 6-3 6-4,5,4,6865,188,272
1,20160118,103970,103720,6-2 6-4 6-4,5,8,4145,308,160
1,20160118,105449,105064,6-3 6-2 6-2,5,32,1240,37,1105
1,20160118,103852,105550,7-6 6-7 7-6 6-7 6-4,5,19,1690,75,693
1,20160118,104545,104719,6-3 7-6 7-6,5,11,2495,80,661
1,20160118,106071,104620,6-4 6-2 6-7 7-5,5,17,1720,64,765
1,20160118,105357,104180,4-6 6-4 6-2 4-6 7-5,5,95,611,38,1105
1,20160118,105311,105053,6-3 7-5 3-6 6-1,5,33,1191,70,723
1,20160118,104918,105032,6-0 6-4 6-1,5,2,8945,67,747
1,20160118,104925,104312,6-1 7-5 7-6,5,1,16790,29,1290
1,20160118,104468,105643,6-3 6-2 6-1,5,15,2145,53,815
1,20160118,104542,105732,6-4 7-6 7-6,5,10,2725,167,313
1,20160118,105453,104198,7-5 2-6 6-3 6-4,5,7,4235,27,1430
1,20160118,103819,105777,6-4 3-6 6-1 6-4,5,3,8165,28,1420
1,20160118,105676,106233,6-1 3-6 7-6 7-5,5,16,1835,20,1645
1,20160118,105138,105227,6-4 7-6 7-5,5,21,1640,13,2405
1,20160118,104607,106401,6-3 6-4 1-6 6-4,5,6,4560,30,1260
1,20160118,105723,104534,7-5 3-6 6-1 7-6,5,74,693,87,633
1,20160118,104792,103565,7-5 6-3 6-2,5,25,1485,225,233
1,20160118,105683,104678,6-2 6-3 6-4,5,14,2270,26,1475
1,20160118,104527,104586,6-2 6-3 7-6,5,4,6865,51,827
1,20160118,103970,105449,6-1 6-4 6-4,5,8,4145,32,1240
1,20160118,104545,103852,6-7 7-6 6-2 6-4,5,11,2495,19,1690
1,20160118,106071,105357,6-4 7-6 6-2,5,17,1720,95,611
1,20160118,104918,105311,6-2 3-6 6-2 6-2,5,2,8945,33,1191
1,20160118,104925,104468,6-3 6-7 6-4 4-6 6-3,5,1,16790,15,2145
1,20160118,105453,104542,6-4 6-2 6-4,5,7,4235,10,2725
1,20160118,103819,105676,6-2 6-1 6-4,5,3,8165,16,1835
1,20160118,104607,105138,4-6 6-4 6-3 1-6 6-3,5,6,4560,21,1640
1,20160118,104792,105723,7-5 3-6 6-3 7-6,5,25,1485,74,693
1,20160118,105683,104527,6-4 6-3 5-7 4-6 6-3,5,14,2270,4,6865
1,20160118,103970,104545,6-4 6-4 7-5,5,8,4145,11,2495
1,20160118,104918,106071,6-4 6-4 7-6,5,2,8945,17,1720
1,20160118,104925,105453,6-3 6-2 6-4,5,1,16790,7,4235
1,20160118,103819,104607,7-6 6-2 6-4,5,3,8165,6,4560
1,20160118,105683,104792,6-3 3-6 6-3 6-4,5,14,2270,25,1485
1,20160118,104918,103970,6-3 6-7 6-2 6-3,5,2,8945,8,4145
1,20160118,104925,103819,6-1 6-2 3-6 6-3,5,1,16790,3,8165
1,20160118,104918,105683,4-6 7-5 6-7 6-4 6-2,5,2,8945,14,2270
1,20160118,104925,104918,6-1 7-5 7-6,5,1,16790,2,8945
1,20160201,100644,104563,6-7(3) 6-4 7-5,3,85,651,103,560
1,20160201,104932,105932,4-6 7-6(4) 6-3,3,156,376,116,503
1,20160201,103582,106432,7-6(5) 6-2,3,121,487,38,1066
1,20160201,103908,111200,6-1 6-4,3,93,609,155,376
1,20160201,105357,103898,6-3 6-0,3,78,701,693,38
1,20160201,104273,104792,6-4 7-6(5),3,136,454,17,1800
1,20160201,105074,105311,6-4 3-6 6-4,3,107,524,33,1191
1,20160201,105526,103917,6-3 7-5,3,108,522,54,812
1,20160201,104460,104327,7-5 7-5,3,133,458,106,532
1,20160201,104571,105041,7-5 7-5,3,53,814,109,522
1,20160201,106121,104797,6-2 6-2,3,97,603,61,781
1,20160201,105208,111460,6-4 6-3,3,82,661,171,316
1,20160201,100644,105227,7-6(4) 7-6(1),3,85,651,13,2495
1,20160201,103582,104932,6-3 6-4,3,121,487,156,376
1,20160201,103908,105332,6-3 6-3,3,93,609,21,1686
1,20160201,105357,104273,4-6 6-1 6-4,3,78,701,136,454
1,20160201,105074,105526,6-4 6-7(5) 6-3,3,107,524,108,522
1,20160201,104460,104468,6-4 6-4,3,133,458,15,2235
1,20160201,104571,106121,6-2 7-6(7),3,53,814,97,603
1,20160201,104755,105208,6-4 6-4,3,10,2760,82,661
1,20160201,100644,103582,6-7(2) 6-2 7-5,3,85,651,121,487
1,20160201,103908,105357,7-6(5) 5-7 6-3,3,93,609,78,701
1,20160201,104460,105074,6-3 6-3,3,133,458,107,524
1,20160201,104755,104571,6-4 6-4,3,10,2760,53,814
1,20160201,103908,100644,7-6(11) 7-5,3,93,609,85,651
1,20160201,104755,104460,1-6 6-4 6-3,3,10,2760,133,458
1,20160201,104755,103908,7-5 6-4,3,10,2760,93,609
2,20160201,105154,106032,6-3 7-6(7),3,154,386,137,440
2,20160201,104330,104547,6-4 7-6(6),3,81,662,118,500
2,20160201,105077,105583,6-4 7-6(7),3,55,808,74,713
2,20160201,105952,105292,6-7(1) 6-3 6-3,3,158,366,151,392
2,20160201,105413,104719,7-6(7) 6-2,3,141,421,83,661
2,20160201,103607,105550,6-4 6-4,3,58,797,68,730
2,20160201,105807,104297,6-3 6-1,3,67,734,115,505
2,20160201,105438,105137,6-7(6) 6-4 6-3,3,76,705,228,236
2,20160201,103656,106075,6-3 3-6 6-4,3,114,507,217,242
2,20160201,103893,105271,6-1 6-2,3,59,786,364,126
2,20160201,104268,104117,6-2 6-3,3,126,481,222,239
2,20160201,106148,105572,6-4 6-3,3,129,474,95,608
2,20160201,103852,105154,4-6 7-6(5) 6-2,3,22,1600,154,386
2,20160201,105077,104330,6-7(5) 6-3 7-5,3,55,808,81,662
2,20160201,105952,104269,7-6(5) 3-6 6-3,3,158,366,47,855
2,20160201,103607,105413,7-5 6-1,3,58,797,141,421
2,20160201,105807,105438,6-7(5) 7-6(2) 6-2,3,67,734,76,705
2,20160201,105064,103656,6-2 6-4,3,35,1140,114,507
2,20160201,103893,104268,6-3 6-2,3,59,786,126,481
2,20160201,106071,106148,6-3 2-6 6-4,3,20,1720,129,474
2,20160201,105077,103852,7-5 4-3 RET,3,55,808,22,1600
2,20160201,103607,105952,6-4 6-7(5) 6-4,3,58,797,158,366
2,20160201,105064,105807,7-6(0) 4-6 6-2,3,35,1140,67,734
2,20160201,103893,106071,6-7(5) 7-5 6-3,3,59,786,20,1720
2,20160201,103607,105077,6-2 7-6(5),3,58,797,55,808
2,20160201,105064,103893,3-6 6-2 6-3,3,35,1140,59,786
2,20160201,103607,105064,4-6 7-6(5) 6-2,3,58,797,35,1140
1,20160201,104978,105341,7-6(5) 6-3,3,134,455,145,411
1,20160201,106000,106210,6-3 3-6 6-3,3,79,698,51,840
1,20160201,104259,104660,6-2 6-2,3,34,1150,66,745
1,20160201,105217,105051,6-4 6-1,3,94,609,104,545
1,20160201,104586,104898,3-6 6-3 6-4,3,46,872,65,762
1,20160201,105373,105586,6-3 6-0,3,44,920,438,95
1,20160201,104180,104291,6-3 6-2,3,42,970,122,486
1,20160201,105575,106220,6-3 2-6 6-3,3,96,606,287,177
1,20160201,105806,106026,6-3 7-6(4),3,119,496,100,585
1,20160201,105173,105539,6-2 7-5,3,49,845,84,657
1,20160201,105657,111202,6-2 6-3,3,214,244,56,802
1,20160201,105936,104947,6-3 3-6 6-4,3,101,574,113,516
1,20160201,104678,104978,6-4 6-3,3,25,1475,134,455
1,20160201,104259,106000,6-1 4-6 6-3,3,34,1150,79,698
1,20160201,104312,105217,6-2 6-1,3,31,1200,94,609
1,20160201,105373,104586,6-3 2-6 7-6(4),3,44,920,46,872
1,20160201,104180,105575,7-5 7-6(4),3,42,970,96,606
1,20160201,104198,105806,6-3 6-4,3,27,1340,119,496
1,20160201,105173,105657,6-4 6-7(5) 6-3,3,49,845,214,244
1,20160201,105138,105936,W/O,3,18,1775,101,574
1,20160201,104678,104259,6-3 6-4,3,25,1475,34,1150
1,20160201,105373,104312,6-4 6-3,3,44,920,31,1200
1,20160201,104180,104198,7-6(6) 6-4,3,42,970,27,1340
1,20160201,105138,105173,6-4 6-3,3,18,1775,49,845
1,20160201,104678,105373,4-6 6-3 7-5,3,25,1475,44,920
1,20160201,105138,104180,7-6(5) 6-4,3,18,1775,42,970
1,20160201,105138,104678,6-3 6-4,3,18,1775,25,1475
2,20160208,105952,105487,7-6(9) 7-5,3,151,391,97,589
2,20160208,105053,105438,6-1 7-5,3,73,723,75,717
2,20160208,104655,105077,7-5 6-2,3,35,1100,46,878
2,20160208,104919,105550,2-6 6-3 6-3,3,37,1070,71,730
2,20160208,104597,103656,6-3 6-3,3,72,729,125,482
2,20160208,105643,104926,6-7(4) 6-4 6-4,3,45,895,24,1515
2,20160208,106233,105807,6-0 3-6 6-3,3,19,1725,64,759
2,20160208,105671,103926,4-6 6-4 6-1,3,142,418,74,720
2,20160208,105583,106032,7-6(7) 6-3,3,79,688,138,440
2,20160208,106043,105238,5-7 6-4 6-3,3,89,621,31,1195
2,20160208,103893,104665,2-6 7-5 6-2,3,52,831,60,770
2,20160208,104338,106065,6-1 6-3,3,55,800,92,613
2,20160208,103970,105952,6-2 6-2,3,6,4325,151,391
2,20160208,104655,105053,6-4 6-2,3,35,1100,73,723
2,20160208,104542,104919,6-1 6-2,3,9,2905,37,1070
2,20160208,104597,105643,6-3 4-6 6-4,3,72,729,45,895
2,20160208,106233,105671,3-6 7-6(7) 6-3,3,19,1725,142,418
2,20160208,105583,104545,7-6(10) 4-6 7-6(6),3,79,688,12,2585
2,20160208,103893,106043,4-6 6-3 6-1,3,52,831,89,621
2,20160208,104745,104338,6-4 6-4,3,5,4880,55,800
2,20160208,103970,104655,6-4 1-6 6-3,3,6,4325,35,1100
2,20160208,104597,104542,6-2 7-5,3,72,729,9,2905
2,20160208,106233,105583,6-4 6-2,3,19,1725,79,688
2,20160208,104745,103893,7-6(3) 6-2,3,5,4880,52,831
2,20160208,104597,103970,6-4 7-5,3,72,729,6,4325
2,20160208,106233,104745,6-4 4-6 7-6(4),3,19,1725,5,4880
2,20160208,106233,104597,7-6(2) 3-6 7-6(4),3,19,1725,72,729
1,20160208,126203,111581,6-3 6-4,3,145,414,387,113
1,20160208,103794,126205,6-4 3-6 6-3,3,107,525,251,215
1,20160208,105357,105572,6-3 6-7(3) 7-5,3,66,746,95,608
1,20160208,104719,104291,6-1 6-3,3,98,588,120,486
1,20160208,105575,104534,6-7(5) 6-2 7-5,3,102,581,91,613
1,20160208,106000,105065,6-3 4-6 6-3,3,78,698,128,478
1,20160208,105011,105032,7-6(4) 7-6(2),3,82,658,77,702
1,20160208,106415,111577,6-3 6-4,3,130,471,159,366
1,20160208,105967,105051,6-1 3-0 RET,3,188,279,105,542
1,20160208,106045,104330,6-4 6-2,3,59,772,88,622
1,20160208,105062,104563,6-4 7-6(4),3,93,612,103,560
1,20160208,105992,126207,6-7(0) 7-6(8) 6-4,3,124,483,176,309
1,20160208,126203,105449,7-6(5) 7-6(7),3,145,414,29,1240
1,20160208,103794,105357,6-2 7-6(6),3,107,525,66,746
1,20160208,105385,104719,6-1 7-6(2),3,48,847,98,588
1,20160208,105575,106000,6-3 6-4,3,102,581,78,698
1,20160208,106415,105011,6-1 6-3,3,130,471,82,658
1,20160208,105023,105967,6-3 6-4,3,58,785,188,279
1,20160208,105062,106045,6-1 7-5,3,93,612,59,772
1,20160208,105453,105992,6-2 7-5,3,7,4235,124,483
1,20160208,126203,103794,6-4 5-7 7-6(5),3,145,414,107,525
1,20160208,105575,105385,7-6(3) 6-1,3,102,581,48,847
1,20160208,105023,106415,6-3 6-4,3,58,785,130,471
1,20160208,105453,105062,6-2 6-4,3,7,4235,93,612
1,20160208,126203,105575,2-6 6-3 6-4,3,145,414,102,581
1,20160208,105453,105023,3-6 6-3 6-3,3,7,4235,58,785
1,20160208,105453,126203,6-4 6-4,3,7,4235,145,414
1,20160208,105227,104797,7-6(5) 6-4,3,13,2495,65,752
